genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DLGAP5,202.1806443,0.556006673,0.166427215,3.340839865,0.000835254,0.007082686
DDIAS,56.89050094,0.432340201,0.13013907,3.322139939,0.000893299,0.007470418
PLK1,410.7192864,0.477682974,0.14473484,3.300400746,0.000965469,0.007937534
RAI2,526.8941518,-0.407262874,0.123516921,-3.297223341,0.000976458,0.008006524
ZSCAN26,226.4955352,-0.211752277,0.064443279,-3.285870623,0.001016677,0.008261701
MASTL,243.5528132,0.222439696,0.067759636,3.282775821,0.001027904,0.008314059
TPX2,715.6785133,0.516318793,0.157817758,3.271614031,0.001069355,0.008585482
OIP5,43.25258773,0.524658636,0.160812967,3.262539382,0.001104188,0.008762421
RAD51,113.1550902,0.461194048,0.141475548,3.259885227,0.001114573,0.008829673
DM2,6052.894055,0.138982893,0.042888652,3.240551652,0.001192987,0.009268202
KNSTRN,199.3318924,0.309411733,0.095480253,3.240583524,0.001192853,0.009268202
NOLC1,2102.360152,0.218586489,0.067777469,3.225061268,0.001259457,0.009654794
MKI67,1366.91161,0.493569989,0.153976572,3.205487574,0.001348339,0.010146839
MTBP,55.7706351,0.377405255,0.117838185,3.20274158,0.001361261,0.010227432
CDCA8,266.8825213,0.465399008,0.145603895,3.196336251,0.001391848,0.010377125
CDC6,236.5402943,0.451231878,0.141399347,3.191187841,0.001416891,0.010525641
EXO1,76.7203707,0.478837201,0.150706305,3.177287122,0.001486598,0.010929654
WHAMMP2,37.41376859,-0.357364119,0.113338797,-3.15306082,0.001615681,0.011667059
NUP37,292.8919294,0.211720886,0.067194067,3.150886603,0.001627757,0.011720102
CLSPN,51.43965164,0.536242617,0.17043855,3.146251928,0.001653775,0.011875067
DNTTIP2,1217.111892,0.142839164,0.045513194,3.138412191,0.001698658,0.012103349
NUF2,125.4764908,0.452996324,0.14462427,3.132228937,0.001734845,0.012323201
CCNE2,62.12437179,0.365301511,0.116988943,3.12253023,0.001793037,0.012615393
ZWILCH,290.1048881,0.262535444,0.084538742,3.105504507,0.001899547,0.013213931
CENPO,84.54031508,0.258763203,0.083466315,3.100211166,0.001933827,0.013322081
TOPBP1,639.2139666,0.183162811,0.05920127,3.093900024,0.00197544,0.013553207
CCDC58,171.2240458,0.261982121,0.084730612,3.091941794,0.001988518,0.013623631
SYAP1,1070.460295,0.175930377,0.057004281,3.086266076,0.002026874,0.013788408
NIP7,594.0999942,0.195906006,0.063779522,3.071612951,0.002129056,0.014283833
CCNB1,508.4077808,0.385299475,0.125603028,3.067597017,0.002157874,0.014393611
CDCA2,77.81309112,0.471394925,0.154648377,3.048172471,0.002302377,0.015080205
LMNB1,633.159841,0.309593986,0.101624459,3.046451506,0.002315598,0.015129121
PSMD2,3860.593558,0.189606337,0.062355534,3.040729913,0.002360054,0.015284555
PRMT3,257.5319973,0.18968771,0.062561388,3.032025287,0.002429189,0.015622851
S100A2,1988.407843,1.106206832,0.365372267,3.027615756,0.002464913,0.015803134
NEIL3,23.85041125,0.461371662,0.15293005,3.016880351,0.002553906,0.016166286
CKS2,367.4269677,0.410470101,0.136520454,3.006656438,0.002641381,0.01658938
CIT,276.3144777,0.358073135,0.11971443,2.991060767,0.002780102,0.017249691
TTK,105.3008421,0.501900151,0.168393452,2.980520589,0.002877589,0.017723724
PSMA3,1291.189784,0.18600159,0.062464941,2.977695778,0.002904241,0.017818196
GTF2IRD2P1,245.3976709,-0.231757005,0.07800339,-2.971114512,0.002967211,0.018148771
RNF7,1410.140632,0.170659254,0.057501954,2.967886155,0.002998554,0.018298096
DFNB82,298.6519359,0.31079461,0.104749567,2.967025252,0.003006963,0.018301099
CDCA5,307.8485872,0.420178992,0.142252369,2.953757433,0.003139307,0.018907419
CENPN,268.9568346,0.261748121,0.088906252,2.944091284,0.003239044,0.019363056
ERCC6L,51.42562914,0.414113755,0.141055386,2.935823761,0.003326633,0.019714563
RAD18,163.1553645,0.234116985,0.079757734,2.935351509,0.0033317,0.019738269
KIF4A,228.225239,0.43435626,0.147986029,2.935116664,0.003334223,0.019742759
KIF18B,151.8237697,0.452322712,0.154194516,2.933455247,0.00335212,0.0198148
PHF21A,814.50082,-0.130208801,0.044401582,-2.93252618,0.003362166,0.019861484
KIFC1,300.8438382,0.427006819,0.146200849,2.920686319,0.003492613,0.020352942
DBF4,172.0111819,0.228172495,0.078540595,2.905153626,0.003670729,0.021183451
RAN,3667.383327,0.188742924,0.065384987,2.886640079,0.003893794,0.022091515
TCF19,337.7672321,0.268469423,0.093374529,2.875189038,0.004037857,0.022672326
MRPS35,1330.130382,0.217621669,0.075710073,2.874408387,0.004047852,0.022700874
PCDHB3,52.33972061,-0.413651162,0.144063166,-2.871318013,0.004087641,0.022853181
CHEK1,155.8559287,0.289712968,0.10101259,2.868087706,0.00412961,0.023026688
PBK,114.0662866,0.455099949,0.158970386,2.862797036,0.004199195,0.023332499
FGF9,28.01739488,-0.522142882,0.182834226,-2.855826796,0.004292492,0.023720765
PUS7,299.8506898,0.214158751,0.075079602,2.852422569,0.004338738,0.023932956
KIAA0391,493.9401222,0.140347645,0.049256089,2.849346076,0.00438092,0.024115275
RRM1,1066.997412,0.176247526,0.061916403,2.846540132,0.004419716,0.024285452
CCNF,210.669577,0.305380003,0.107451391,2.842029307,0.004482737,0.024515175
CSTF2,301.4884197,0.188179046,0.066244991,2.840653204,0.004502124,0.024576651
MELK,196.6511915,0.491346075,0.173060471,2.839158307,0.004523271,0.024651944
MESP2,9.592968842,0.412033721,0.145784546,2.826319598,0.004708626,0.025371704
OTX1,21.42930586,0.494989359,0.175371364,2.822521004,0.00476477,0.025595758
DTL,177.7372433,0.377006931,0.133652402,2.820801768,0.004790379,0.025696001
FAM72A,16.30955777,0.418990063,0.149119087,2.809768151,0.00495772,0.026349021
NCAPG2,361.511171,0.291214142,0.103727443,2.807493694,0.004992866,0.026473464
ASF1B,284.4425763,0.370982963,0.132451847,2.80088932,0.005096199,0.026822866
FOXM1,587.3265507,0.48974559,0.174883955,2.800403208,0.005103881,0.026840376
FLJ34064,12.66663709,0.353590969,0.126744142,2.789801271,0.00527404,0.027525204
PIMREG,63.7291307,0.415164215,0.148973251,2.786837312,0.005322519,0.027698672
ESCO2,66.98675357,0.403821304,0.145519793,2.775026658,0.005519718,0.028294869
ZNF367,104.5833892,0.288550872,0.104487405,2.761585207,0.005752151,0.029051424
SMS,1682.101706,0.18464448,0.066874202,2.761071894,0.005761199,0.029081238
PTCH2,74.0271796,-0.437358492,0.15879239,-2.754278661,0.005882166,0.029562722
PSMA6,1972.071561,0.169034027,0.061801032,2.735132768,0.006235512,0.030761637
PMAIP1,207.3188978,0.384547895,0.140936372,2.728521309,0.006361898,0.031212442
BRRN1,153.0461819,0.389686269,0.143218882,2.720914048,0.006510169,0.031769073
ED4,1222.727826,0.367689721,0.135157227,2.720459196,0.006519132,0.031804418
PRO2577,2036.319845,0.154011058,0.05683444,2.709819237,0.006731989,0.032482899
DSCC1,80.87303173,0.297661034,0.110023211,2.705438533,0.006821427,0.032874765
DDX10,497.5756274,0.142386385,0.052673045,2.703211601,0.006867301,0.033058162
RAD54B,68.6085859,0.303499829,0.112287435,2.702883273,0.006874088,0.033065008
XRCC2,26.80263189,0.377711027,0.139905997,2.69974866,0.006939188,0.03331641
RPSAP52,16.09134915,0.627989066,0.234331326,2.679919402,0.007363989,0.034720267
SKA3,100.1688553,0.395038226,0.147466856,2.678827202,0.007388051,0.034812707
TICRR,78.26591391,0.398974555,0.149639805,2.6662328,0.007670656,0.035779622
MTHFD1,1355.461204,0.184765119,0.069598402,2.654732213,0.007937139,0.036774363
MTHFD2,981.6842421,0.237076725,0.089694058,2.643170896,0.008213357,0.037739803
CENPL,103.6643078,0.202766404,0.076905156,2.636577491,0.008374707,0.038234156
TCEA1,1235.575057,0.166309451,0.063125764,2.634573296,0.008424311,0.038361392
PSMD1,2270.633999,0.162372168,0.061737916,2.630023468,0.008537897,0.038657886
PRIM2,121.1006761,0.192093057,0.073055934,2.629397043,0.008553643,0.038679271
UNG,672.214,0.146042051,0.055540592,2.629465155,0.00855193,0.038679271
MAD2L1,222.5153725,0.32654378,0.124278393,2.627518533,0.008601016,0.03884533
RFWD3,615.3287314,0.152448572,0.058343023,2.612970053,0.008975917,0.040117162
PSMC2,1582.984444,0.123084459,0.047216643,2.606802426,0.009139208,0.040598806
IARS2,2264.895602,0.16967732,0.065108435,2.60607278,0.0091587,0.040629645
KIF15,104.8378524,0.392630029,0.150966824,2.600770283,0.009301472,0.041007203
ORC6,91.6760232,0.353952082,0.136105315,2.600575009,0.009306767,0.041020768
FAM72D,45.45780018,0.392222465,0.15149654,2.588986287,0.009625893,0.042026625
NCAPG,236.1040695,0.378119091,0.146298062,2.584580312,0.009749759,0.042427172
NUP107,631.2762274,0.199208924,0.077097803,2.583846963,0.009770514,0.042477498
PSMA5,1713.156648,0.178143794,0.069219467,2.573608302,0.010064414,0.04337786
SHCBP1,153.5793718,0.354577495,0.138021056,2.569010153,0.010198947,0.043855472
SPDL1,206.8282028,0.188576395,0.073670386,2.559731328,0.010475311,0.044744334
GINS1,133.0604715,0.340041382,0.132885999,2.558895474,0.010500531,0.044818748
KIF2C,284.7771163,0.39742216,0.155357473,2.558114218,0.010524152,0.044878129
SSRP1,3204.731073,0.120292643,0.047143928,2.551604174,0.010722826,0.045472405
CCNB2,272.866202,0.419742907,0.164696062,2.54859103,0.010815906,0.045770701
GNPNAT1,1031.608127,0.233063081,0.091605294,2.544209734,0.01095253,0.046167678
BORA,147.0383913,0.226833658,0.089199421,2.542994722,0.010990689,0.046291079
PARPBP,81.42713629,0.284469179,0.112162545,2.536222569,0.011205549,0.046955096
IQGAP3,588.7473186,0.46602308,0.184132146,2.530916463,0.011376494,0.047465074
KNTC1,316.4381252,0.249217948,0.098645885,2.526389702,0.011524157,0.047904352
MCM10,69.93462357,0.406457942,0.161248594,2.520691392,0.011712452,0.048458884
CDC25C,54.87366098,0.43724783,0.173769755,2.516248183,0.011861163,0.048822996
UBE2C,444.3035052,0.453511745,0.180615296,2.51092657,0.012041474,0.049345491
LRPPRC,2426.072381,0.144010429,0.057456693,2.50641695,0.012196171,0.049813827
PRMT2,1944.602146,-0.12811336,0.051133764,-2.505455272,0.012229387,0.049905398
TYMS,392.0786868,0.285073243,0.113928368,2.502214752,0.012341904,0.050220466
DFNB89,3039.458367,0.141018718,0.05654228,2.494040172,0.012629825,0.051110848
C5orf22,446.9956231,0.128841389,0.051734194,2.490449336,0.012758168,0.051482162
EFCAB11,63.16147739,0.185109502,0.074438519,2.486743472,0.012891832,0.051853378
KCND1,161.8331522,-0.246428441,0.099751336,-2.470427472,0.013495168,0.053511829
EZH2,239.7091505,0.264222004,0.107309275,2.4622476,0.013806931,0.054479978
GTSE1,144.5358804,0.36268717,0.148060278,2.449591303,0.014301845,0.05578104
CENPU,237.2965843,0.313160336,0.128041034,2.445781061,0.014453874,0.056180814
GNL2,1224.291101,0.134143153,0.054881542,2.444230752,0.014516139,0.056326316
CCDC15,32.58210828,0.235107576,0.096235337,2.443048283,0.014563789,0.056415053
SAPCD2,323.9725803,0.392565176,0.161611427,2.429068179,0.015137685,0.058069669
DFNB70,522.1515394,0.12568547,0.051769982,2.427767314,0.015192087,0.058193034
EIF2S1,1359.389021,0.128265553,0.052971149,2.42142289,0.015459881,0.058999627
HIST1H2BJ,40.83460339,0.491390791,0.203576491,2.413789476,0.015787581,0.060076637
GNL3,1476.72742,0.144307694,0.059980844,2.405896373,0.01613284,0.061042539
KIAA0101,205.7840791,0.357131858,0.148880263,2.398785775,0.016449535,0.061920176
WDHD1,142.0593024,0.273331339,0.113976795,2.398131473,0.016478949,0.06196782
ESPL1,148.3147008,0.344382903,0.143778591,2.395230755,0.016609908,0.062346164
CSE1L,1548.250431,0.159192149,0.066514434,2.393347415,0.016695424,0.062590914
LIN9,104.16437,0.230658264,0.096572588,2.388444467,0.016919865,0.063265583
RFC4,246.6558908,0.197464986,0.082858711,2.383152988,0.017165059,0.063910983
WDR53,135.3348002,0.133406715,0.056225978,2.372688232,0.017659163,0.065238345
AUNIP,30.03702849,0.34147107,0.144156255,2.368756522,0.017847999,0.065703376
FLJ10749,359.7696625,0.216785525,0.091660388,2.365095008,0.018025446,0.066216589
TK1,738.8534999,0.383877833,0.162460183,2.362904104,0.018132361,0.066494913
HELLS,98.9617874,0.286247245,0.121821528,2.349726281,0.018787221,0.068195123
SPC24,16.5885778,0.400815811,0.17064193,2.348870589,0.01883045,0.068309795
CENPK,91.01488046,0.334461017,0.143294611,2.334079523,0.019591558,0.070182982
MYBL2,528.1090055,0.404469656,0.173629692,2.329495909,0.019832809,0.070861574
EPR1,207.5135557,0.402147503,0.172955134,2.325155051,0.020063671,0.071478494
LMNB2,1624.776756,0.194062844,0.083460274,2.325212174,0.020060618,0.071478494
C1orf112,122.8547648,0.197716248,0.085358138,2.31631397,0.020541132,0.072773622
UBE2T,188.188918,0.304715608,0.131563815,2.316104982,0.020552537,0.072786136
BRCA2,83.12204024,0.308466911,0.13379943,2.305442646,0.021141795,0.074289585
ISY1,682.7404173,0.10357981,0.045273952,2.287845565,0.022146516,0.076726454
NDC80,188.2580079,0.329876654,0.14433406,2.285508033,0.022283056,0.077098373
GOLT1B,945.3508244,0.158235656,0.069352757,2.28160584,0.022512622,0.077747175
RAD51AP1,110.3044702,0.322916929,0.14164723,2.279726394,0.022623921,0.078000428
CTPS1,558.1470207,0.215772428,0.095866095,2.250768915,0.024400177,0.082447939
MGME1,343.5111542,0.154467506,0.069048946,2.237072597,0.025281596,0.084561632
NDUFB4,1637.883267,0.149674439,0.066916953,2.236719294,0.025304692,0.084608275
CALCOCO1,1953.140957,-0.150283072,0.067433824,-2.228600775,0.025840479,0.085918084
LINC00346,121.9135041,0.359283576,0.161635532,2.22280071,0.026229241,0.086867037
RNASEH1,274.6419152,0.136397614,0.061361907,2.222838573,0.026226687,0.086867037
FAM72B,92.21139336,0.297998125,0.134198193,2.220582239,0.02637927,0.087179851
CDKN3,117.686226,0.299007548,0.13495194,2.215659491,0.026714831,0.087939688
FEN1,518.6612928,0.193225902,0.08749606,2.208395457,0.027216718,0.089120834
WDR43,793.3226496,0.145116768,0.06616811,2.193152693,0.02829638,0.091552821
PSME3,2032.993065,0.100158861,0.045749804,2.18927411,0.028576923,0.092037503
CCDC138,30.03465784,0.249627825,0.114270359,2.184536972,0.028922814,0.092817854
PSAT1,266.999409,0.433912186,0.198810782,2.182538502,0.029069813,0.093154392
YARS1,1785.91435,0.156479801,0.07175958,2.180611987,0.029212128,0.0935132
ARL8B,1888.483448,0.102696284,0.04737036,2.167943904,0.030162955,0.095449775
ENY2,589.3242081,0.139798515,0.065039742,2.149432184,0.031600156,0.098713785
PTDSS1,1550.787127,0.121426414,0.056657221,2.143176305,0.032098944,0.099799811
PAICS,1846.172025,0.162364559,0.076373436,2.125929737,0.03350911,0.103074938
HROB,58.34869326,0.275910298,0.131318745,2.101073224,0.035634539,0.10774859
EIF2S2,1866.691868,0.135967172,0.06508689,2.089010133,0.036706811,0.110233707
POP1,147.3604277,0.160992937,0.077137942,2.08707845,0.036881044,0.110631165
CEBPZ,1048.425621,0.095848518,0.046045698,2.081595502,0.037379433,0.111673244
ALS2CR1,385.4400403,0.097611179,0.046943797,2.079320054,0.037587943,0.112096946
DCUN1D5,303.1382592,0.162061481,0.078157226,2.073531636,0.03812283,0.11329012
MCM3,1771.170162,-0.185472114,0.089532973,-2.071550931,0.03830734,0.1136193
BRCA1,215.0620762,0.195439468,0.094428632,2.069705584,0.038479924,0.113966648
E2F1,234.3440695,0.302478959,0.146207946,2.068827079,0.038562316,0.11414106
HRMT1L5,1204.205639,0.120420351,0.058517322,2.057858189,0.039603748,0.11640789
RAD54L,91.95306173,0.331392617,0.163273862,2.029673413,0.042389747,0.122325797
CDC45,124.3043155,0.358997243,0.177258138,2.025279336,0.042838689,0.12333967
CDCA4,309.1389114,0.188334503,0.09331009,2.01837233,0.043552499,0.124869856
PSMD12,678.482126,0.119896611,0.05962095,2.01098122,0.04432744,0.12652275
PSMA1,2123.109786,0.107110516,0.053312866,2.009093183,0.044527252,0.126916741
ORC1,64.77558378,0.28655271,0.14278274,2.006914206,0.044758799,0.127451887
TROAP,164.1860514,0.338288371,0.169314853,1.997984024,0.045718392,0.129433941
PSMD7,1926.424596,0.101733284,0.05119109,1.987324031,0.0468865,0.131772517
SKP2,94.25838728,0.199134448,0.100250412,1.986370373,0.046992214,0.131969325
UBE2V2,631.8818055,0.122741435,0.062347902,1.968653815,0.048992858,0.136058569
TBC1D31,119.3725271,0.155584041,0.0794013,1.959464657,0.050058395,0.138208112
TMEM136,161.7552314,-0.146005886,0.074733715,-1.953681643,0.050738879,0.139390448
PTTG1,324.5653901,0.279282623,0.14362095,1.944581365,0.051825384,0.141560524
APOBEC3B,135.2557462,0.31359896,0.161344398,1.943661903,0.051936236,0.141762769
DNA2,68.35746769,0.206444342,0.10630416,1.942015638,0.052135207,0.14213801
TP73,30.3202215,0.371119566,0.19206884,1.932221626,0.053332157,0.144485214
RHEBL1,23.79903198,0.278426175,0.146107687,1.90562304,0.056699131,0.150912108
E2F8,78.91269981,0.309770046,0.164318133,1.885184795,0.059404893,0.15596488
WDR12,349.3994378,0.14272478,0.076037834,1.877023218,0.060514912,0.157995018
BIRC5,188.0387789,0.336850302,0.179707771,1.874433701,0.060870672,0.158697315
OGFOD1,751.5420632,0.085894506,0.046030458,1.866036312,0.062036285,0.160762042
PSME4,1586.26285,0.105707274,0.056681462,1.864935535,0.062190441,0.160937894
WDR76,123.4335448,0.168948478,0.091254009,1.851408835,0.064110759,0.164395832
PKMYT1,192.7695928,0.324659311,0.175715062,1.84764645,0.064653505,0.165550937
C2orf4,319.2302963,0.10929561,0.059395694,1.840126821,0.06574962,0.167453234
SMPDL3A,379.7022407,-0.209438344,0.113960524,-1.83781486,0.066089691,0.168157202
RBM28,349.0576226,0.090540256,0.049433174,1.831568726,0.0670157,0.169702637
GINS3,101.7656853,0.139193004,0.076597115,1.81720949,0.069185042,0.173572786
ZBED4,527.1451347,0.11866776,0.065359963,1.81560322,0.069431259,0.174096011
RARS1,1295.344693,0.079680113,0.043895333,1.815229712,0.069488615,0.174195957
TMEM69,402.9066383,0.092828239,0.051593379,1.799227762,0.07198266,0.178556396
SKA1,60.64149632,0.275162535,0.1533936,1.793833219,0.072839793,0.180150853
HMGB2,1558.7401,0.160455229,0.089763232,1.787538456,0.073850502,0.181607712
DARS2,458.503174,0.146541413,0.082029918,1.786438614,0.074028268,0.181825542
C5orf34,36.51801794,0.182234105,0.10298877,1.769456069,0.076817796,0.187037272
ARHGEF39,152.4862579,0.253432996,0.143466559,1.766495261,0.077312796,0.187772704
TFDP1,1496.591385,0.087463655,0.049623692,1.762538236,0.077978402,0.189041649
KHRBP1,435.7164547,0.086144382,0.049076825,1.755296535,0.079208599,0.191219422
TARS1,1729.986913,0.115308579,0.066226762,1.741117572,0.081662972,0.194656227
GINS4,87.34655079,0.200235299,0.117208922,1.708362264,0.087569145,0.20449021
ZNF799,134.1473091,-0.107819919,0.063420431,-1.700081766,0.089115547,0.206882898
RFC5,214.2304595,0.115599476,0.068071802,1.698199131,0.089470184,0.207462216
PCNA,1323.083581,0.140257945,0.082805261,1.693828907,0.090297799,0.20901431
ETFA,1437.223842,0.110497206,0.065312293,1.691828614,0.090678656,0.209502481
NRD1,2378.27403,0.069389296,0.041106648,1.688030987,0.091405281,0.210654823
MRPS30,409.7297662,0.119290819,0.07074858,1.686123147,0.091772083,0.211079215
PPAT,255.816576,0.138403958,0.082145894,1.684855464,0.092016461,0.211562343
C1orf74,67.37096098,0.149298006,0.089192959,1.673876591,0.094154856,0.215062118
RFT1,470.1373977,0.095310375,0.057077413,1.669843978,0.094950237,0.216397125
MTFR2,43.04998641,0.233940952,0.140970591,1.659501812,0.097014716,0.21932991
POC1A,163.6945745,0.217414874,0.131885224,1.648515782,0.099246875,0.22302804
DDOST,5342.287076,0.095449777,0.058025013,1.644976401,0.099974678,0.224118791
TRIP13,165.4449279,0.2652631,0.16137777,1.643740025,0.100229915,0.224391708
MCM8,157.5375407,0.144137519,0.087856483,1.640601982,0.100880063,0.225328868
CDCA3,162.5976387,0.24453314,0.149207653,1.638878004,0.101238669,0.225853077
MCM2,652.1945734,0.19847132,0.12155078,1.632826378,0.102505518,0.227421049
KIF24,83.03959941,0.190106355,0.117269929,1.62110062,0.104996061,0.231253981
HNRNPC,7712.703945,0.065598916,0.041093708,1.596325069,0.110416236,0.239977859
PDK1,336.8871462,0.171935288,0.10794623,1.59278641,0.111208115,0.2408619
WNT2B,37.00492522,-0.242582335,0.153212237,-1.58330914,0.113351021,0.244472223
MRPL47,545.0138535,0.109523669,0.069346126,1.579376886,0.114249636,0.245525376
ULBP2,75.3880297,0.318049096,0.206182388,1.542561901,0.122937108,0.258513263
CUL3,1572.217559,0.069791162,0.045294638,1.540826149,0.123359104,0.259026221
VWA5A,1347.695703,-0.157720821,0.102472791,-1.539148295,0.123768097,0.259665762
FASTKD2,755.0089328,0.073978094,0.048589892,1.522499655,0.127883932,0.265536006
FAM162A,1022.1393,0.145505082,0.096524101,1.507448206,0.13169581,0.271345613
MIS18A,145.4777561,0.12171939,0.080938856,1.503843703,0.132621615,0.272736477
NUP54,623.7172292,0.059143508,0.039471599,1.498381353,0.134034198,0.274658718
PSMC6,1181.714372,0.067387031,0.044992169,1.497750221,0.134198158,0.274908481
WHSC1,1398.113916,0.12476595,0.083757378,1.489611447,0.13632643,0.277729804
CASP2,850.4818356,0.084348164,0.056646716,1.489021245,0.136481774,0.277954401
APEX1,2512.172957,0.072385485,0.048731551,1.485392592,0.137439857,0.279198303
POLE3,1130.648453,0.081895592,0.055329058,1.480155187,0.138831837,0.28076131
KPNA2,1185.990148,0.141848507,0.095861304,1.479726459,0.138946262,0.280782426
MTIF2,618.7520373,0.079403329,0.054598865,1.454303662,0.145862136,0.290304392
FTX,35.52365295,-0.118025462,0.081188836,-1.453715413,0.146025223,0.290437936
MPHOSPH6,274.9165625,0.102377371,0.070449585,1.453200484,0.146168098,0.290569235
MINA,651.846854,0.072545629,0.050114686,1.447592228,0.147731126,0.292457015
